Id,Title,Info
s49,Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice Training Day Antoine Fuqua Denzel Washington  Ethan Hawke  Scott Glenn  Tom Berenger  Harris Yulin  Raymond J. Barry  Cliff Curtis  Dr. Dre  Snoop Dogg  Macy Gray  Eva Mendes United States R
s50,Castle and Castle,A pair of high-powered  successful lawyers find themselves defending opposite interests of the justice system  causing a strain on their happy marriage Castle and Castle  Richard Mofe-Damijo  Dakore Akande  Bimbo Manuel  Blossom Chukwujekwu  Deyemi Okanlawon  Etim Effiong  Denola Grey  Duke Akintola  Eku Edewor  Ade Laoye  Anee Icha  Kevin Ushi  Jude Chukwuka  Amanda Afolabi Nigeria TV-MA
s51,Dharmakshetra,After the ancient Great War  the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains Dharmakshetra  Kashmira Irani  Chandan Anand  Dinesh Mehta  Ankit Arora  Pushkar Goggiaa  Anjali Rana  Aarya DharmChand Kumar  Amit Behl  Maleeka Ghai India TV-PG
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,With their biggest foe seemingly defeated  InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy InuYasha the Movie 2: The Castle Beyond the Looking Glass Toshiya Shinohara Kappei Yamaguchi  Satsuki Yukino  Mieko Harada  Koji Tsujitani  Houko Kuwashima  Kumiko Watanabe  Noriko Hidaka  Kenichi Ogata  Toshiyuki Morikawa  Izumi Ogami Japan TV-14
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened InuYasha the Movie 3: Swords of an Honorable Ruler Toshiya Shinohara Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani  Houko Kuwashima  Kumiko Watanabe  Ken Narita  Akio Otsuka  Kikuko Inoue Japan TV-14
s54,InuYasha the Movie 4: Fire on the Mystic Island,Ai  a young half-demon who has escaped from Horai Island to try to help her people  returns with potential saviors InuYasha  Sesshomaru and Kikyo InuYasha the Movie 4: Fire on the Mystic Island Toshiya Shinohara Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani  Houko Kuwashima  Kumiko Watanabe  Noriko Hidaka  Ken Narita  Cho  Mamiko Noto  Nobutoshi Canna Japan TV-PG
s55,InuYasha the Movie: Affections Touching Across Time,A powerful demon has been sealed away for 200 years. But when the demon's son is awakened  the fate of the world is in jeopardy InuYasha the Movie: Affections Touching Across Time Toshiya Shinohara Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani  Houko Kuwashima  Kumiko Watanabe  Kenichi Ogata  Noriko Hidaka  Hisako Kyoda  Ken Narita  Tomokazu Seki Japan TV-PG
s56,Nailed It,Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10 000 prize. It's part reality contest  part hot mess Nailed It  Nicole Byer  Jacques Torres United States TV-PG
s57,Naruto Shippuden the Movie: Blood Prison,Mistakenly accused of an attack on the Fourth Raikage  ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed Naruto Shippuden the Movie: Blood Prison Masahiko Murata Junko Takeuchi  Chie Nakamura  Rikiya Koyama  Kazuhiko Inoue  Masaki Terasoma  Mie Sonozaki  Yuichi Nakamura  Kengo Kawanishi  Kosei Hirota  Masako Katsuki Japan TV-14
s58,Naruto Shippûden the Movie: Bonds,When strange ninjas ambush the village of Konohagakure  it's up to adolescent ninja Naruto and his long-missing pal  Sasuke  to save the planet Naruto Shippûden the Movie: Bonds Hajime Kamegaki Junko Takeuchi  Chie Nakamura  Noriaki Sugiyama  Unsho Ishizuka  Motoko Kumai  Kazuhiko Inoue  Rikiya Koyama  Showtaro Morikubo  Nana Mizuki  Satoshi Hino  Shinji Kawada Japan TV-PG
